	nentry	muentry	sdentry	noincrease	betagrowth	betagrowth_se	alphagrowth	siggrowth	betaexit	beta2exit	alphaexit	nend	muend	sigend	nout	muout	sigout	nint	muint	sigint	
r1	  258.000000000	   42.547441860	   22.757096387	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000595123	    0.589147288	   42.547441860	  106.000000000	   41.800188739	   22.164551517	  152.000000000	   43.068552588	   23.219799200	    0.000000000	 9999.000000000	 9999.000000000	
r1	  138.000000000	   36.116217316	   21.085944811	    0.179245283	    0.000761965	    0.002412085	   -2.851713351	    0.744046275	   -0.002485299	    0.483606555	   39.660483485	  126.000000000	   41.974841186	   22.065105128	  118.000000000	   37.189220178	   21.697113275	  106.000000000	   44.274716800	   22.345912498	
r1	  174.000000000	   40.992241361	   20.781948341	    0.103174603	   -0.003842878	    0.001307949	   -2.131454863	    0.497197738	    0.000197444	    0.466666667	   43.046433309	  160.000000000	   42.869093800	   21.449684767	  140.000000000	   43.249107034	   22.527846072	  126.000000000	   45.883174571	   23.193609353	
r1	  180.000000000	   42.446666569	   24.602599460	    0.068750000	    0.001277304	    0.001437698	   -2.343591774	    0.579464809	   -0.002942691	    0.414705881	   45.204146957	  199.000000000	   48.144070285	   22.914447154	  141.000000000	   41.054893467	   25.453195531	  160.000000000	   48.306312394	   23.466541636	
r1	  196.000000000	   42.822122525	   27.749160668	    0.085427136	   -0.002608168	    0.001016323	   -2.222085944	    0.430807025	   -0.000392556	    0.415189873	   47.952131788	  231.000000000	   48.426138696	   25.901169282	  164.000000000	   47.284475716	   27.637530525	  199.000000000	   53.004804228	   24.467916242	
r1	  227.000000000	   45.877286235	   26.717578423	    0.138528139	    0.001365043	    0.001205684	   -2.682536726	    0.571157770	   -0.002130960	    0.375545854	   48.904877679	  286.000000000	   51.365188815	   26.532493191	  172.000000000	   44.813895209	   27.032647421	  231.000000000	   51.880043298	   26.764024568	
r1	  269.000000000	   50.457918422	   27.114943423	    0.122377622	   -0.003626967	    0.001071900	   -2.581540394	    0.583160411	   -0.001755374	    0.360360360	   52.437553179	  355.000000000	   54.432028112	   26.744575945	  200.000000000	   48.897360172	   27.107600368	  286.000000000	   54.299517338	   26.771941867	
r1	  298.000000000	   52.010530344	   29.860666166	    0.140845070	    0.000911880	    0.001339922	   -3.110730346	    0.807719197	   -0.001522143	    0.407350686	   54.979745891	  387.000000000	   57.077224894	   28.202719810	  266.000000000	   51.928150500	   28.948622110	  355.000000000	   57.472214153	   27.289100213	
r1	  255.000000000	   58.030588232	   32.887553956	    0.214470284	   -0.003286969	    0.001498885	   -3.212414478	    0.930747408	   -0.000476547	    0.345794392	   58.613875457	  420.000000000	   59.274542927	   31.109535770	  222.000000000	   57.363964029	   28.238894395	  387.000000000	   58.998212001	   28.220301752	
r1	  260.000000000	   52.612169152	   28.983625101	    0.147619048	   -0.007549712	    0.001253781	   -2.314559941	    0.709216459	    0.000872633	    0.408823529	   57.912158737	  402.000000000	   56.446587029	   31.358924866	  278.000000000	   60.031438690	   31.719848654	  420.000000000	   61.193104671	   32.616741892	
r1	  223.000000000	   54.072950534	   28.290475024	    0.246268657	   -0.003607618	    0.001037899	   -2.629675717	    0.645213444	   -0.000456282	    0.326400000	   57.632026828	  421.000000000	   58.269232222	   29.943912505	  204.000000000	   56.317009814	   32.226246450	  402.000000000	   59.606340294	   31.813977178	
r1	  354.000000000	   57.415466055	   32.790375411	    0.161520190	   -0.003658615	    0.001082633	   -2.462567274	    0.727286344	   -0.001588819	    0.571612902	   60.330531621	  332.000000000	   64.083358472	   31.856446531	  443.000000000	   57.518029331	   31.554809045	  421.000000000	   62.781679389	   30.826147278	
r1	   37.000000000	   35.858107902	   15.504464592	    0.322289157	   -0.001254638	    0.000853054	   -2.809926744	    0.462823611	   -0.001525413	    0.815718159	   63.761143656	   68.000000000	   72.669558749	   36.775472739	  301.000000000	   61.748611342	   31.617043759	  332.000000000	   66.870819327	   32.815888785	
r1	    1.000000000	  105.000000000	    0.000000000	    0.250000000	   -0.004861623	    0.002302628	   -2.879263950	    0.669709673	   -0.000322724	    0.985507247	   75.815652294	    1.000000000	  105.000000000	    0.000000000	   68.000000000	   75.386470711	   36.562560421	   68.000000000	   75.386470711	   36.562560421	
r1	    1.000000000	  178.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.000000000	    0.500000000	  141.500000000	    1.000000000	  178.000000000	    0.000000000	    1.000000000	  105.000000000	    0.000000000	    1.000000000	  105.000000000	    0.000000000	
