    year   type mend_d mend_s mend_f send_f nend_d nend_s mout_d mout_s mout_f nout_d nout_s  min_d  min_s  min_f  nin_d  nin_s mint_d mint_s mint_f 
   1987      1   41.8   42.1    0.3    0.5   1060   1061   43.1   43.0   -0.1   1520   1519   42.5   42.6    0.1   2580   2580 9999.0    NaN    NaN
   1988      1   42.0   43.5    1.5   -0.1   1260   1275   37.2   39.0    1.8   1180   1166   36.1   38.7    2.6   1380   1380   44.3   44.8    0.6
   1989      1   42.9   44.9    2.0   -0.2   1600   1614   43.2   44.6    1.4   1400   1401   41.0   42.6    1.6   1740   1740   45.9   47.7    1.8
   1990      1   48.1   49.9    1.8    0.9   1990   2034   41.1   43.2    2.2   1410   1380   42.4   44.8    2.3   1800   1800   48.3   50.0    1.7
   1991      1   48.4   50.8    2.4   -0.7   2310   2340   47.3   49.6    2.3   1640   1654   42.8   45.9    3.1   1960   1960   53.0   54.5    1.5
   1992      1   51.4   53.9    2.5    0.2   2860   2923   44.8   47.4    2.6   1720   1687   45.9   48.2    2.3   2270   2270   51.9   54.8    2.9
   1993      1   54.4   57.0    2.5    0.6   3550   3629   48.9   51.0    2.1   2000   1984   50.5   52.2    1.7   2690   2690   54.3   57.3    3.0
   1994      1   57.1   59.6    2.5    0.8   3870   3958   51.9   54.3    2.4   2660   2651   52.0   54.1    2.1   2980   2980   57.5   60.2    2.7
   1995      1   59.3   62.0    2.7   -0.7   4200   4277   57.4   59.7    2.3   2220   2231   58.0   60.0    2.0   2550   2550   59.0   62.0    3.0
   1996      1   56.4   60.1    3.7   -2.0   4020   4035   60.0   63.6    3.5   2780   2842   52.6   54.4    1.8   2600   2600   61.2   65.9    4.7
   1997      1   58.3   61.2    3.0   -0.4   4210   4232   56.3   59.1    2.8   2040   2033   54.1   55.6    1.5   2230   2230   59.6   63.3    3.7
   1998      1   64.1   66.3    2.2   -0.2   3320   3376   57.5   60.1    2.6   4430   4396   57.4   59.4    2.0   3540   3540   62.8   65.6    2.8
   1999      1   72.7   74.0    1.3   -3.1    680    710   61.7   64.0    2.2   3010   3036   35.9   37.0    1.2    370    370   66.9   69.0    2.2
   2000      1  105.0    NaN    NaN    NaN     10      0   75.4   77.0    1.6    680    720  105.0  104.5   -0.5     10     10   75.4   76.6    1.2
   2001      1  178.0  177.5   -0.5    0.0     10      5  105.0  177.5   72.5     10      5  178.0  177.5   -0.5     10     10  105.0    NaN    NaN
   2002      1   48.0   70.7   22.7   30.7    120    125  112.1   67.6  -44.5     40     30   56.5   60.6    4.2    150    150  178.0  355.1  177.1
   2003      1   43.3   55.8   12.5   23.4    220    243   42.1   41.6   -0.5    150    132   38.9   39.0    0.0    250    250   50.9   74.5   23.5
   2004      1   63.9   67.4    3.6    2.5    750    772   59.9   62.0    2.1    500    501   65.7   66.7    1.0   1030   1030   46.2   59.2   13.0
   2005      1   70.3   70.9    0.6   -4.0    940    941   69.5   71.6    2.2   1440   1461   70.9   71.4    0.5   1630   1630   67.4   71.2    3.8
   2006      1   70.8   71.4    0.6   -5.0    720    718   73.9   74.6    0.8   1460   1463   72.3   73.0    0.7   1240   1240   73.6   74.4    0.7
   2007      1   68.3   69.9    1.6   -3.8    920    910   77.3   77.6    0.3   1100   1108   72.6   73.5    0.9   1300   1300   74.3   75.1    0.8
   2008      1   83.2   83.9    0.7   -8.0    810    804   76.3   77.9    1.6   1290   1286   84.4   85.3    0.9   1180   1180   72.0   73.6    1.6
   2009      1   76.9   76.7   -0.2   -1.7    930    919   81.2   81.6    0.4   1260   1265   74.4   74.6    0.2   1380   1380   87.8   88.0    0.2
   2010      1   72.1   72.6    0.5   -0.8    990    977   83.3   83.5    0.2   1510   1512   78.2   78.9    0.7   1570   1570   79.9   79.7   -0.2
   2011      1   81.5   82.4    0.8   -2.4    890    893   75.1   75.4    0.3   1280   1264   79.9   80.6    0.6   1180   1180   75.1   75.6    0.4
   2012      1   84.7   84.3   -0.4  -13.0    830    825   81.2   83.3    2.1   1270   1278   81.7   82.8    1.0   1210   1210   83.8   84.9    1.2
   2013      1   85.8   86.7    0.9   -7.0   1080   1105   82.7   82.8    0.1   1140   1110   83.0   83.6    0.7   1390   1390   86.3   86.7    0.4
   2014      1   79.5   81.3    1.8   -4.4    810    807   91.1   91.4    0.2   1550   1578   85.7   86.7    1.0   1280   1280   88.9   89.5    0.5
   2015      1   84.9   86.1    1.2   -3.5   1360   1357    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550   83.2   84.3    1.1
   2016      1    0.0   89.0   89.0   41.5      0   1907    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   89.1   89.1
   2017      1    0.0   91.3   91.3   42.8      0   2457    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   92.1   92.1
   2018      1    0.0   93.4   93.4   43.9      0   3007    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   94.4   94.4
   2019      1    0.0   95.4   95.4   45.1      0   3557    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   96.7   96.7
   2020      1    0.0   97.4   97.4   46.1      0   4107    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0   98.7   98.7
   2021      1    0.0   99.3   99.3   47.2      0   4657    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  100.8  100.8
   2022      1    0.0  101.3  101.3   48.3      0   5207    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  102.8  102.8
   2023      1    0.0  103.3  103.3   49.5      0   5757    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  104.8  104.8
   2024      1    0.0  105.2  105.2   50.7      0   6307    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  106.8  106.8
   2025      1    0.0  107.3  107.3   52.0      0   6857    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  108.9  108.9
   2026      1    0.0  109.3  109.3   53.2      0   7407    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  111.0  111.0
   2027      1    0.0  111.4  111.4   54.6      0   7957    0.0    NaN    NaN      0      0   87.4   88.7    1.2    550    550    0.0  113.1  113.1
   1987      2   22.2   22.2    0.0    0.1   1110   1094   23.7   23.6   -0.1    180    196   22.4   22.4    0.0   1290   1290 9999.0    NaN    NaN
   1988      2   23.5   23.7    0.2    0.2   1000    999   22.4   22.3   -0.0    170    155   20.1   21.1    0.9     60     60   23.5   23.6    0.2
   1989      2   26.4   26.5    0.2    0.3    990   1000   22.8   23.0    0.2     90     79   20.2   20.7    0.5     80     80   26.6   26.7    0.2
   1990      2   28.4   28.8    0.4    0.4   1010   1030   25.1   25.1    0.0     60     50   21.1   21.3    0.2     80     80   28.8   29.2    0.4
   1991      2   30.9   31.4    0.6    0.5   1050   1076   26.6   26.7    0.1     60     54   21.2   21.3    0.1    100    100   31.6   32.2    0.6
   1992      2   32.4   33.2    0.8    0.9   1050   1079   27.7   32.2    4.6     50     47   21.9   21.9    0.0     50     50   32.7   33.7    1.0
   1993      2   34.2   35.3    1.0    1.1   1070   1107   30.4   29.9   -0.5     80     72   24.2   24.3    0.0    100    100   34.9   35.9    1.0
   1994      2   34.1   35.2    1.1    1.1   1110   1136   37.1   37.9    0.8     90    101   24.0   24.3    0.3    130    130   35.6   36.7    1.2
   1995      2   35.3   36.8    1.4    1.3   1110   1143   30.8   30.4   -0.4     60     53   23.4   23.4    0.0     60     60   35.7   37.2    1.5
   1996      2   37.1   38.7    1.6    1.2   1040   1067   37.8   39.7    1.9     90     96   31.0   31.0    0.0     20     20   37.2   38.9    1.7
   1997      2   40.5   42.4    1.9    1.3    920    959   35.4   35.5    0.1    130    118   38.3   38.5    0.2     10     10   39.9   41.7    1.8
   1998      2   43.9   46.1    2.2    1.7    790    831   41.6   42.9    1.2    130    128    0.0    NaN    NaN      0      0   43.5   45.6    2.1
   1999      2   38.6   39.9    1.3    1.7   1490   1537   35.0   35.0   -0.1    160    154   32.2   32.2    0.0    860    860   44.8   46.9    2.1
   2000      2   37.5   38.6    1.1    2.2   2030   2080   36.1   36.6    0.4    350    347   32.5   32.5    0.1    890    890   40.2   41.7    1.5
   2001      2   40.5   41.7    1.1    2.4   2080   2141   35.8   35.4   -0.5    210    199   36.2   36.2    0.0    260    260   40.6   41.7    1.1
   2002      2   44.4   45.6    1.3    2.9   2010   2072   37.5   37.8    0.3    190    189   37.0   37.0    0.0    120    120   44.2   45.4    1.2
   2003      2   47.2   48.5    1.3    2.9   2070   2138   42.2   41.0   -1.1    100     94   38.1   38.1   -0.0    160    160   47.6   49.0    1.3
   2004      2   50.7   52.1    1.4    3.1   1990   2066   43.8   43.5   -0.4    160    152   38.4   38.4   -0.0     80     80   50.6   52.0    1.4
   2005      2   53.3   54.8    1.4    3.2   1930   2001   55.4   56.3    0.9    140    145   44.8   44.7   -0.0     80     80   53.8   55.3    1.4
   2006      2   56.8   58.4    1.6    3.5   1910   1986   53.0   49.9   -3.1     80     75   48.8   48.8   -0.0     60     60   56.9   58.4    1.5
   2007      2   59.4   61.4    2.0    4.9   1890   1967   58.8   57.3   -1.6    140    139   46.1   46.1   -0.0    120    120   60.2   62.0    1.8
   2008      2   61.9   64.2    2.3    5.4   1920   2009   61.5   54.8   -6.6     50     38   47.2   47.2   -0.0     80     80   62.5   64.7    2.2
   2009      2   64.9   67.8    2.9    6.0   1880   1976   61.8   59.1   -2.7    160    153   48.6   48.6   -0.0    120    120   65.7   68.3    2.6
   2010      2   66.5   69.9    3.5    7.0   1890   1993   66.3   61.3   -5.0    100     93   44.7   44.7   -0.0    110    110   67.7   70.9    3.2
   2011      2   68.8   72.7    3.9    7.7   1880   1992   70.9   64.1   -6.8     90     81   56.2   56.2    0.0     80     80   69.4   73.0    3.6
   2012      2   70.2   74.8    4.6    8.1   1880   2004   73.5   68.6   -4.9    110     98   47.5   47.6    0.0    110    110   71.8   76.0    4.3
   2013      2   71.3   76.5    5.2    9.6   1930   2063   67.6   62.2   -5.4    100     91   49.8   49.8   -0.0    150    150   72.8   77.8    5.0
   2014      2   72.7   78.5    5.8   11.4   1810   1932   75.5   78.1    2.6    220    231   51.5   51.5   -0.0    100    100   74.1   79.7    5.6
   2015      2   75.6   81.8    6.2   12.5   1830   1952    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20   75.8   82.0    6.2
   2016      2    0.0   85.2   85.2   42.2      0   1972    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   85.4   85.4
   2017      2    0.0   88.7   88.7   45.0      0   1992    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   89.0   89.0
   2018      2    0.0   92.4   92.4   47.9      0   2012    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   92.8   92.8
   2019      2    0.0   96.3   96.3   51.1      0   2032    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0   96.6   96.6
   2020      2    0.0  100.4  100.4   54.5      0   2052    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  100.8  100.8
   2021      2    0.0  104.6  104.6   58.1      0   2072    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  105.0  105.0
   2022      2    0.0  109.2  109.2   62.6      0   2092    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  109.7  109.7
   2023      2    0.0  114.1  114.1   67.0      0   2112    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  114.6  114.6
   2024      2    0.0  119.1  119.1   71.5      0   2132    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  119.6  119.6
   2025      2    0.0  124.0  124.0   75.4      0   2152    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  124.6  124.6
   2026      2    0.0  129.4  129.4   79.8      0   2172    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  130.0  130.0
   2027      2    0.0  135.1  135.1   84.6      0   2192    0.0    NaN    NaN      0      0   59.3   59.2   -0.1     20     20    0.0  135.7  135.7
   1987      3   31.4   31.4   -0.0   -0.5    920    904   34.2   34.1   -0.1    260    276   32.0   32.0    0.0   1180   1180 9999.0    NaN    NaN
   1988      3   34.1   34.4    0.3   -0.2    860    862   30.1   31.5    1.5    130    112   30.3   30.3    0.0     70     70   33.9   34.4    0.6
   1989      3   40.7   41.3    0.6    0.2    830    840   33.0   36.6    3.6     60     52   34.3   34.3   -0.0     30     30   40.4   41.3    0.9
